,Name,Ground,Mat,Inns,O,M,R,W,4w,Best,Avg,S/R,E/R,BowlingScore
0,Varun Aaron,Arun Jaitley Stadium ,8,7,25.4,0,203,9,0,2/19,22.56,17.11,7.91,0.9457755359394704
2,Varun Aaron,Dubai International Cricket Stadium ,3,3,9.5,0,81,4,0,2/29,20.25,14.75,8.24,0.46253469010175763
3,Varun Aaron,Eden Gardens ,3,3,10.0,1,81,4,0,2/20,20.25,15.0,8.1,0.461361014994233
4,Varun Aaron,Himachal Pradesh Cricket Association Stadium ,2,2,8.0,0,51,0,0,0/25,0.0,0.0,6.38,0.0
7,Varun Aaron,M Chinnaswamy Stadium ,14,13,38.5,0,413,5,0,2/33,82.6,46.6,10.64,0.17877574370709384
8,Varun Aaron,MA Chidambaram Stadium ,3,3,11.2,0,111,3,0,2/63,37.0,22.67,9.79,0.2159516268355888
10,Varun Aaron,Punjab Cricket Association IS Bindra Stadium ,3,3,9.0,0,71,2,0,2/3,35.5,27.0,7.89,0.14206563432305724
11,Varun Aaron,Rajiv Gandhi International Stadium ,3,3,11.0,0,93,4,0,2/30,23.25,16.5,8.45,0.41493775933609955
12,Varun Aaron,Sawai Mansingh Stadium ,2,2,5.0,0,52,2,0,2/36,26.0,15.0,10.4,0.19455252918287938
13,Varun Aaron,Sharjah Cricket Stadium ,3,3,9.0,1,50,4,0,3/16,12.5,13.5,5.56,0.6337135614702155
14,Varun Aaron,Sheikh Zayed Stadium ,1,1,4.0,0,47,0,0,0/47,0.0,0.0,11.75,0.0
15,Varun Aaron,Wankhede Stadium ,2,2,8.0,0,86,3,0,2/45,28.67,16.0,10.75,0.27066041140382535
16,Kyle Abbott,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,3.0,0,25,0,0,0/25,0.0,0.0,8.33,0.0
17,Kyle Abbott,M Chinnaswamy Stadium ,1,1,3.0,0,48,1,0,1/48,48.0,18.0,16.0,0.06097560975609756
18,Kyle Abbott,Punjab Cricket Association IS Bindra Stadium ,2,2,7.0,0,70,1,0,1/38,70.0,42.0,10.0,0.040983606557377046
19,Kyle Abbott,Rajiv Gandhi International Stadium ,1,1,3.0,0,34,0,0,0/34,0.0,0.0,11.33,0.0
21,Sean Abbott,Eden Gardens ,1,1,3.0,0,36,0,0,0/36,0.0,0.0,12.0,0.0
22,Sean Abbott,M Chinnaswamy Stadium ,1,1,2.0,0,21,0,0,0/21,0.0,0.0,10.5,0.0
23,Abdul Samad,BRSABV Ekana Cricket Stadium ,8,1,0.2,0,6,0,0,0/6,0.0,0.0,18.0,0.0
25,Abdul Samad,Dubai International Cricket Stadium ,8,2,5.0,0,69,1,0,1/41,69.0,30.0,13.8,0.044326241134751775
26,Abdul Samad,Sharjah Cricket Stadium ,5,2,3.0,0,36,1,0,1/9,36.0,18.0,12.0,0.07575757575757576
28,Yusuf Abdulla,M Chinnaswamy Stadium ,1,1,2.5,0,36,0,0,0/36,0.0,0.0,12.71,0.0
30,Yusuf Abdulla,Punjab Cricket Association IS Bindra Stadium ,1,1,4.0,0,30,1,0,1/30,30.0,24.0,7.5,0.08130081300813008
33,Abdur Razzak,Sawai Mansingh Stadium ,1,1,2.0,0,29,0,0,0/29,0.0,0.0,14.5,0.0
34,Abhishek Sharma,Arun Jaitley Stadium ,6,2,5.0,0,51,1,0,1/26,51.0,30.0,10.2,0.05482456140350877
35,Abhishek Sharma,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,3.0,0,27,0,0,0/27,0.0,0.0,9.0,0.0
36,Abhishek Sharma,Dubai International Cricket Stadium ,6,5,6.0,0,54,2,0,1/15,27.0,18.0,9.0,0.18518518518518517
37,Abhishek Sharma,M Chinnaswamy Stadium ,1,1,1.0,0,10,0,0,0/10,0.0,0.0,10.0,0.0
38,Abhishek Sharma,MA Chidambaram Stadium ,8,4,10.0,0,67,4,0,2/24,16.75,15.0,6.7,0.5201560468140441
40,Abhishek Sharma,Narendra Modi Stadium ,4,1,1.0,0,13,0,0,0/13,0.0,0.0,13.0,0.0
41,Abhishek Sharma,Rajiv Gandhi International Stadium ,20,10,16.0,0,168,2,0,1/10,84.0,48.0,10.5,0.07017543859649122
42,Abhishek Sharma,Sawai Mansingh Stadium ,1,1,2.0,0,15,0,0,0/15,0.0,0.0,7.5,0.0
43,Abhishek Sharma,Sharjah Cricket Stadium ,3,1,2.0,0,9,0,0,0/9,0.0,0.0,4.5,0.0
44,Abhishek Sharma,Sheikh Zayed Stadium ,4,3,6.0,0,49,2,0,2/4,24.5,18.0,8.17,0.19735543714229326
45,Abhishek Sharma,Wankhede Stadium ,7,2,3.0,0,23,0,0,0/10,0.0,0.0,7.67,0.0
46,Love Ablish,Arun Jaitley Stadium ,1,1,2.0,0,19,1,0,1/19,19.0,12.0,9.5,0.12345679012345678
47,Love Ablish,M Chinnaswamy Stadium ,1,1,3.0,0,39,0,0,0/39,0.0,0.0,13.0,0.0
48,Love Ablish,Punjab Cricket Association IS Bindra Stadium ,1,1,2.0,0,17,2,0,2/17,8.5,6.0,8.5,0.43478260869565216
49,Ajit Agarkar,Arun Jaitley Stadium ,10,10,32.0,0,302,4,0,2/47,75.5,48.0,9.44,0.1504438092372499
51,Ajit Agarkar,Eden Gardens ,7,7,22.0,0,188,5,0,2/19,37.6,26.4,8.55,0.34458993797381116
53,Ajit Agarkar,M Chinnaswamy Stadium ,2,2,7.0,0,54,3,0,3/25,18.0,14.0,7.71,0.37773860488541927
54,Ajit Agarkar,MA Chidambaram Stadium ,3,3,9.0,0,82,2,0,1/19,41.0,27.0,9.11,0.12968486577616392
57,Ajit Agarkar,Punjab Cricket Association IS Bindra Stadium ,2,2,7.0,0,58,2,0,2/32,29.0,21.0,8.29,0.171556013038257
58,Ajit Agarkar,Rajiv Gandhi International Stadium ,1,1,4.0,0,29,2,0,2/29,14.5,12.0,7.25,0.2962962962962963
59,Ajit Agarkar,Sawai Mansingh Stadium ,2,2,6.0,0,68,1,0,1/46,68.0,36.0,11.33,0.04335385415763461
63,Ajit Agarkar,Wankhede Stadium ,3,3,8.2,0,63,2,0,2/27,31.5,25.0,7.56,0.1561036528254761
65,Abu Ahmed,Eden Gardens ,3,3,12.0,0,84,4,0,2/23,21.0,18.0,7.0,0.43478260869565216
67,Abu Ahmed,M Chinnaswamy Stadium ,3,3,12.0,0,140,1,0,1/40,140.0,72.0,11.67,0.022354361335896633
68,Abu Ahmed,MA Chidambaram Stadium ,3,3,8.0,0,99,1,0,1/56,99.0,48.0,12.38,0.03137156481365291
70,Abu Ahmed,Rajiv Gandhi International Stadium ,2,2,6.2,0,49,0,0,0/22,0.0,0.0,7.74,0.0
71,Abu Ahmed,Wankhede Stadium ,4,4,11.0,1,72,3,0,2/13,24.0,22.0,6.55,0.285442435775452
72,Khaleel Ahmed,Arun Jaitley Stadium ,12,12,42.0,0,467,8,0,2/45,58.38,31.5,11.12,0.39603960396039606
73,Khaleel Ahmed,Barsapara Cricket Stadium ,2,2,6.0,0,69,2,0,2/38,34.5,18.0,11.5,0.15625
75,Khaleel Ahmed,BRSABV Ekana Cricket Stadium ,3,3,12.0,0,109,5,0,2/30,21.8,14.4,9.08,0.5521201413427562
77,Khaleel Ahmed,Dr YS Rajasekhara Reddy Cricket Stadium ,3,3,10.5,1,88,5,0,2/21,17.6,13.0,8.12,0.6456611570247934
78,Khaleel Ahmed,Dubai International Cricket Stadium ,6,6,22.4,0,204,7,0,2/24,29.14,19.43,9.0,0.6079555323953448
79,Khaleel Ahmed,Eden Gardens ,3,3,8.0,0,80,0,0,0/14,0.0,0.0,10.0,0.0
80,Khaleel Ahmed,Himachal Pradesh Cricket Association Stadium ,1,1,3.0,1,20,1,0,1/20,20.0,18.0,6.67,0.11193194537721066
81,Khaleel Ahmed,M Chinnaswamy Stadium ,3,3,11.0,0,133,5,0,3/37,26.6,13.2,12.09,0.48178839853536326
82,Khaleel Ahmed,MA Chidambaram Stadium ,11,11,41.4,0,316,14,0,3/21,22.57,17.86,7.58,1.4580295771714227
83,Khaleel Ahmed,Maharaja Yadavindra Singh International Cricket St ,2,2,8.0,0,88,4,0,2/43,22.0,12.0,11.0,0.4444444444444444
85,Khaleel Ahmed,Narendra Modi Stadium ,3,3,11.0,2,59,4,0,2/24,14.75,16.5,5.36,0.5462988254575253
86,Khaleel Ahmed,Rajiv Gandhi International Stadium ,4,4,16.0,0,125,10,0,3/30,12.5,9.6,7.81,1.6716817118020728
87,Khaleel Ahmed,Sawai Mansingh Stadium ,2,2,8.0,0,57,2,0,1/24,28.5,24.0,7.13,0.16770082173402648
88,Khaleel Ahmed,Sharjah Cricket Stadium ,1,1,3.0,0,22,0,0,0/22,0.0,0.0,7.33,0.0
89,Khaleel Ahmed,Sheikh Zayed Stadium ,2,2,7.0,0,71,2,0,1/28,35.5,21.0,10.14,0.15006002400960383
90,Khaleel Ahmed,Wankhede Stadium ,6,6,21.1,0,212,6,0,3/42,35.33,21.17,10.02,0.4509921828021648
91,Akash Deep,BRSABV Ekana Cricket Stadium ,4,4,11.0,0,125,1,0,1/46,125.0,66.0,11.36,0.024708440403241747
93,Akash Deep,Eden Gardens ,2,2,6.0,0,85,2,0,2/55,42.5,18.0,14.17,0.13392259274139548
94,Akash Deep,M Chinnaswamy Stadium ,1,1,3.0,0,29,1,0,1/29,29.0,18.0,9.67,0.08823010411152285
96,Akash Deep,Narendra Modi Stadium ,1,1,4.0,0,49,0,0,0/49,0.0,0.0,12.25,0.0
97,Akash Deep,Wankhede Stadium ,2,2,7.3,0,99,1,0,1/55,99.0,45.0,13.2,0.031806615776081425
98,Akash Singh,BRSABV Ekana Cricket Stadium ,1,1,4.0,0,40,1,0,1/40,40.0,24.0,10.0,0.06756756756756757
99,Akash Singh,Eden Gardens ,1,1,4.0,0,29,1,0,1/29,29.0,24.0,7.25,0.08298755186721991
100,Akash Singh,Himachal Pradesh Cricket Association Stadium ,1,1,4.0,0,30,2,0,2/30,15.0,12.0,7.5,0.2898550724637681
101,Akash Singh,M Chinnaswamy Stadium ,1,1,3.0,0,35,1,0,1/35,35.0,18.0,11.67,0.07731560228854183
102,Akash Singh,MA Chidambaram Stadium ,3,3,10.0,0,92,3,0,2/40,30.67,20.0,9.2,0.25054284282612327
103,Akash Singh,Narendra Modi Stadium ,1,1,3.1,0,29,1,0,1/29,29.0,19.0,9.16,0.08747375787263821
104,Akash Singh,Sawai Mansingh Stadium ,1,1,2.0,0,32,0,0,0/32,0.0,0.0,16.0,0.0
105,Akash Singh,Sheikh Zayed Stadium ,1,1,4.0,0,39,0,0,0/39,0.0,0.0,9.75,0.0
108,Balachandra Akhil,M Chinnaswamy Stadium ,4,3,10.2,0,74,0,0,0/19,0.0,0.0,7.16,0.0
109,Balachandra Akhil,MA Chidambaram Stadium ,1,1,1.0,0,4,0,0,0/4,0.0,0.0,4.0,0.0
111,Balachandra Akhil,Rajiv Gandhi International Stadium ,1,1,3.0,0,39,0,0,0/39,0.0,0.0,13.0,0.0
115,Balachandra Akhil,Wankhede Stadium ,1,1,3.0,0,17,2,0,2/17,8.5,9.0,5.67,0.4315925766076823
117,Fabian Allen,Dubai International Cricket Stadium ,2,1,4.0,0,38,0,0,0/38,0.0,0.0,9.5,0.0
118,Fabian Allen,MA Chidambaram Stadium ,2,2,7.0,1,52,1,0,1/22,52.0,42.0,7.43,0.04929508035098097
120,Palani Amarnath,Arun Jaitley Stadium ,1,1,3.0,0,35,0,0,0/35,0.0,0.0,11.67,0.0
121,Palani Amarnath,M Chinnaswamy Stadium ,1,1,4.0,0,38,2,0,2/38,19.0,12.0,9.5,0.24691358024691357
122,Palani Amarnath,MA Chidambaram Stadium ,3,3,11.0,0,121,4,0,2/29,30.25,16.5,11.0,0.3463203463203463
123,Palani Amarnath,Punjab Cricket Association IS Bindra Stadium ,1,1,4.0,0,42,1,0,1/42,42.0,24.0,10.5,0.06535947712418301
124,Anand Rajan,Arun Jaitley Stadium ,1,1,4.0,0,20,1,0,1/20,20.0,24.0,5.0,0.10204081632653061
126,Anand Rajan,Dr YS Rajasekhara Reddy Cricket Stadium ,2,2,5.0,0,37,1,0,1/28,37.0,30.0,7.4,0.06720430107526881
127,Anand Rajan,Himachal Pradesh Cricket Association Stadium ,1,1,2.0,0,23,0,0,0/23,0.0,0.0,11.5,0.0
128,Anand Rajan,M Chinnaswamy Stadium ,1,1,3.5,0,44,1,0,1/44,44.0,23.0,11.48,0.063710499490316
129,Anand Rajan,Rajiv Gandhi International Stadium ,1,1,4.0,0,22,1,0,1/22,22.0,24.0,5.5,0.0970873786407767
130,Anand Rajan,Sawai Mansingh Stadium ,1,1,4.0,0,45,1,0,1/45,45.0,24.0,11.25,0.06230529595015576
131,Anand Rajan,Wankhede Stadium ,1,1,3.0,0,27,3,0,3/27,9.0,6.0,9.0,0.625
132,Corey Anderson,Arun Jaitley Stadium ,5,4,11.0,0,101,2,0,1/23,50.5,33.0,9.18,0.10789814415192057
135,Corey Anderson,Dubai International Cricket Stadium ,3,2,3.0,0,41,2,0,2/18,20.5,9.0,13.67,0.23164234422052352
136,Corey Anderson,Eden Gardens ,2,2,4.5,0,48,1,0,1/21,48.0,29.0,9.93,0.05751754285056942
138,Corey Anderson,M Chinnaswamy Stadium ,2,2,4.4,0,68,1,0,1/10,68.0,28.0,14.57,0.045220222483494624
140,Corey Anderson,Narendra Modi Stadium ,1,1,2.0,0,12,0,0,0/12,0.0,0.0,6.0,0.0
141,Corey Anderson,Rajiv Gandhi International Stadium ,1,1,2.0,0,17,0,0,0/17,0.0,0.0,8.5,0.0
142,Corey Anderson,Sharjah Cricket Stadium ,1,1,2.0,0,16,1,0,1/16,16.0,12.0,8.0,0.1388888888888889
143,Corey Anderson,Sheikh Zayed Stadium ,1,1,3.0,0,33,0,0,0/33,0.0,0.0,11.0,0.0
144,Corey Anderson,Wankhede Stadium ,8,4,9.0,0,89,3,0,2/47,29.67,18.0,9.89,0.26059763724808893
145,Ankit Sharma,Arun Jaitley Stadium ,1,1,2.1,0,18,0,0,0/18,0.0,0.0,8.31,0.0
147,Ankit Sharma,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,4.0,0,18,0,0,0/18,0.0,0.0,4.5,0.0
149,Ankit Sharma,MA Chidambaram Stadium ,2,2,6.0,0,44,1,0,1/31,44.0,36.0,7.33,0.057254093667697244
151,Ankit Sharma,Narendra Modi Stadium ,2,2,7.0,0,49,3,0,2/23,16.33,14.0,7.0,0.40182159121350125
152,Ankit Sharma,Punjab Cricket Association IS Bindra Stadium ,1,1,4.0,0,27,1,0,1/27,27.0,24.0,6.75,0.08658008658008658
153,Ankit Sharma,Rajiv Gandhi International Stadium ,2,2,3.0,0,33,0,0,0/16,0.0,0.0,11.0,0.0
155,Ankit Sharma,Sawai Mansingh Stadium ,2,2,5.0,0,44,0,0,0/11,0.0,0.0,8.8,0.0
156,Ankit Sharma,Wankhede Stadium ,2,1,4.0,0,29,1,0,1/29,29.0,24.0,7.25,0.08298755186721991
157,Ankit Soni,Arun Jaitley Stadium ,1,1,2.0,0,26,0,0,0/26,0.0,0.0,13.0,0.0
159,Ankit Soni,M Chinnaswamy Stadium ,1,1,3.0,0,28,1,0,1/28,28.0,18.0,9.33,0.09036688957166095
162,Zeeshan Ansari,BRSABV Ekana Cricket Stadium ,1,1,2.0,0,22,0,0,0/22,0.0,0.0,11.0,0.0
163,Zeeshan Ansari,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,4.0,0,42,3,0,3/42,14.0,8.0,10.5,0.46153846153846156
164,Zeeshan Ansari,Eden Gardens ,1,1,3.0,0,25,1,0,1/25,25.0,18.0,8.33,0.09740892265731542
165,Zeeshan Ansari,MA Chidambaram Stadium ,1,1,3.0,0,27,0,0,0/27,0.0,0.0,9.0,0.0
166,Zeeshan Ansari,Narendra Modi Stadium ,1,1,4.0,0,42,1,0,1/42,42.0,24.0,10.5,0.06535947712418301
167,Zeeshan Ansari,Rajiv Gandhi International Stadium ,4,4,14.4,0,140,1,0,1/36,140.0,88.0,9.55,0.021048200378867607
168,Zeeshan Ansari,Wankhede Stadium ,1,1,3.1,0,35,0,0,0/35,0.0,0.0,11.05,0.0
169,Anshul Kamboj,Arun Jaitley Stadium ,1,1,3.0,0,21,1,0,1/21,21.0,18.0,7.0,0.10869565217391304
170,Anshul Kamboj,BRSABV Ekana Cricket Stadium ,1,1,3.0,0,20,1,0,1/20,20.0,18.0,6.67,0.11193194537721066
171,Anshul Kamboj,Eden Gardens ,2,2,6.0,0,62,2,0,1/24,31.0,18.0,10.33,0.16854879487611665
172,Anshul Kamboj,M Chinnaswamy Stadium ,1,1,3.0,0,25,0,0,0/25,0.0,0.0,8.33,0.0
173,Anshul Kamboj,MA Chidambaram Stadium ,3,3,7.0,0,55,2,0,1/16,27.5,21.0,7.86,0.177430801987225
174,Anshul Kamboj,Narendra Modi Stadium ,1,1,2.3,0,13,3,0,3/13,4.33,5.0,5.2,1.032346868547832
175,Anshul Kamboj,Wankhede Stadium ,2,2,7.0,0,90,1,0,1/42,90.0,42.0,12.86,0.03451608449537484
176,Anureet Singh,Arun Jaitley Stadium ,1,1,3.0,0,24,0,0,0/24,0.0,0.0,8.0,0.0
177,Anureet Singh,Eden Gardens ,2,2,4.5,0,66,2,0,2/56,33.0,14.5,13.66,0.16350555918901244
179,Anureet Singh,M Chinnaswamy Stadium ,1,1,4.0,0,25,0,0,0/25,0.0,0.0,6.25,0.0
180,Anureet Singh,MA Chidambaram Stadium ,1,1,4.0,0,40,1,0,1/40,40.0,24.0,10.0,0.06756756756756757
182,Anureet Singh,Narendra Modi Stadium ,1,1,4.0,0,41,1,0,1/41,41.0,24.0,10.25,0.0664451827242525
184,Anureet Singh,Punjab Cricket Association IS Bindra Stadium ,7,7,20.5,0,177,4,0,2/21,44.25,31.25,8.5,0.23809523809523808
185,Anureet Singh,Rajiv Gandhi International Stadium ,1,1,4.0,0,37,0,0,0/37,0.0,0.0,9.25,0.0
186,Anureet Singh,Sawai Mansingh Stadium ,1,1,1.0,0,12,0,0,0/12,0.0,0.0,12.0,0.0
188,Anureet Singh,Wankhede Stadium ,1,1,4.0,0,41,2,0,2/41,20.5,12.0,10.25,0.23391812865497075
189,Kotarangada Appanna,Arun Jaitley Stadium ,1,1,4.0,0,24,1,0,1/24,24.0,24.0,6.0,0.09259259259259259
190,Kotarangada Appanna,Eden Gardens ,1,1,3.0,0,27,0,0,0/27,0.0,0.0,9.0,0.0
192,Kotarangada Appanna,M Chinnaswamy Stadium ,4,3,6.0,0,72,1,0,1/30,72.0,36.0,12.0,0.041666666666666664
194,Kotarangada Appanna,Sawai Mansingh Stadium ,1,1,4.0,0,19,4,1,4/19,4.75,6.0,4.75,1.4193548387096775
198,Sreenath Aravind,Arun Jaitley Stadium ,1,1,4.0,0,30,1,0,1/30,30.0,24.0,7.5,0.08130081300813008
199,Sreenath Aravind,Eden Gardens ,3,3,10.3,0,105,5,0,2/37,21.0,12.6,10.0,0.573394495412844
200,Sreenath Aravind,Himachal Pradesh Cricket Association Stadium ,1,1,4.0,0,36,0,0,0/36,0.0,0.0,9.0,0.0
202,Sreenath Aravind,M Chinnaswamy Stadium ,19,19,61.1,0,437,25,2,4/14,17.48,14.68,7.14,3.2824427480916034
203,Sreenath Aravind,MA Chidambaram Stadium ,2,2,6.0,0,66,4,0,2/27,16.5,9.0,11.0,0.547945205479452
205,Sreenath Aravind,Punjab Cricket Association IS Bindra Stadium ,1,1,2.0,0,31,0,0,0/31,0.0,0.0,15.5,0.0
206,Sreenath Aravind,Rajiv Gandhi International Stadium ,2,2,6.0,0,62,0,0,0/26,0.0,0.0,10.33,0.0
208,Sreenath Aravind,Sawai Mansingh Stadium ,1,1,4.0,0,34,3,0,3/34,11.33,8.0,8.5,0.5389867049946102
210,Sreenath Aravind,Wankhede Stadium ,3,3,9.0,0,82,2,0,1/29,41.0,27.0,9.11,0.12968486577616392
211,Jofra Archer,Arun Jaitley Stadium ,2,2,7.1,0,63,3,0,2/32,21.0,14.33,8.79,0.33998186763372623
212,Jofra Archer,Barsapara Cricket Stadium ,2,2,5.3,1,46,1,0,1/13,46.0,33.0,8.36,0.05723443223443223
